date,open,high,low,close,volume
2026-01-06 09:15:00,367.3,368.25,361.8,363.8,924558.0
2026-01-07 09:15:00,363.8,364.25,357.7,359.4,1115584.0
2026-01-08 09:15:00,359.5,361.85,351.5,352.8,1282301.0
2026-01-09 09:15:00,350.7,353.75,345.6,346.45,1105040.0
2026-01-12 09:15:00,345.0,350.75,340.0,349.7,2008447.0
2026-01-13 09:15:00,350.1,351.8,343.0,346.0,917928.0
2026-01-14 09:15:00,345.0,346.45,342.75,345.35,989702.0
2026-01-16 09:15:00,345.35,348.95,343.45,344.1,879779.0
2026-01-19 09:15:00,343.0,344.65,341.1,342.3,779413.0
2026-01-20 09:15:00,341.6,342.8,329.1,330.5,1181094.0
2026-01-21 09:15:00,330.0,333.0,322.4,325.95,2742731.0
2026-01-22 09:15:00,327.85,335.45,327.55,334.25,1329835.0
2026-01-23 09:15:00,334.25,337.35,324.15,325.2,1123208.0
2026-01-27 09:15:00,325.65,326.8,319.05,323.25,1488086.0
2026-01-28 09:15:00,323.25,326.0,319.7,321.15,2487601.0
2026-01-29 09:15:00,321.15,322.15,312.9,320.85,3235104.0
2026-01-30 09:15:00,320.0,326.0,314.9,321.6,3661799.0
2026-02-01 09:15:00,324.0,325.95,311.5,316.65,1610776.0
2026-02-02 09:15:00,318.0,323.45,308.45,321.2,1932681.0
2026-02-03 09:15:00,335.0,337.0,323.75,328.0,3003445.0
2026-02-04 09:15:00,338.0,345.9,332.55,341.5,8494116.0
2026-02-05 09:15:00,343.0,343.0,335.1,336.8,1053846.0
2026-02-06 09:15:00,336.8,336.8,329.2,332.65,1476846.0
2026-02-09 09:15:00,334.5,341.0,333.4,340.45,1349063.0
2026-02-10 09:15:00,342.0,344.0,337.1,338.8,1404239.0
2026-02-11 09:15:00,339.05,341.65,337.6,341.1,912523.0
2026-02-12 09:15:00,341.1,341.1,334.3,338.05,1708279.0
2026-02-13 09:15:00,337.7,340.35,332.15,336.8,1628679.0
2026-02-16 09:15:00,336.0,341.5,332.2,340.85,1178082.0
2026-02-17 09:15:00,342.5,343.85,340.0,341.1,1365711.0
2026-02-18 09:15:00,340.5,342.65,338.25,341.65,808524.0
2026-02-19 09:15:00,341.55,343.5,331.35,333.2,1606919.0
2026-02-20 09:15:00,333.2,338.9,332.4,336.45,1180349.0
2026-02-23 09:15:00,336.45,339.35,335.0,338.4,770938.0
2026-02-24 09:15:00,335.85,338.4,332.85,335.95,807265.0
2026-02-25 09:15:00,338.4,343.0,335.65,337.35,2484898.0
2026-02-26 09:15:00,338.65,340.3,334.85,339.85,1055014.0
2026-02-27 09:15:00,336.5,339.6,333.05,334.3,925477.0
2026-03-02 09:15:00,315.35,329.9,315.0,322.8,1651619.0
2026-03-04 09:15:00,317.0,318.95,311.15,313.95,1268764.0
2026-03-05 09:15:00,314.85,320.35,313.65,319.65,1346742.0
2026-03-06 09:15:00,320.2,323.2,315.2,315.95,775564.0
2026-03-09 09:15:00,309.5,309.5,302.75,308.9,1372447.0
2026-03-10 09:15:00,311.25,318.6,309.0,317.05,881075.0
2026-03-11 09:15:00,317.05,320.65,310.7,311.5,1302955.0
2026-03-12 09:15:00,308.5,314.45,304.5,310.0,1465707.0
2026-03-13 09:15:00,307.0,309.35,295.5,296.6,2543270.0
2026-03-16 09:15:00,296.6,299.25,290.95,295.15,1654554.0
2026-03-17 09:15:00,296.95,303.6,295.25,301.9,1849187.0
2026-03-18 09:15:00,303.45,310.3,302.95,308.75,1619400.0
2026-03-19 09:15:00,305.0,305.0,300.0,301.85,1364902.0
2026-03-20 09:15:00,303.85,308.0,301.7,302.65,1563002.0
2026-03-23 09:15:00,298.2,299.55,290.0,290.75,1794922.0
2026-03-24 09:15:00,296.5,301.0,291.0,298.5,1561582.0
2026-03-25 09:15:00,302.0,312.6,300.8,307.15,1953412.0
2026-03-27 09:15:00,307.15,308.1,299.0,300.85,1704633.0
2026-03-30 09:15:00,296.85,298.1,287.0,287.9,2228771.0
2026-04-01 09:15:00,294.2,302.35,294.0,299.85,1239360.0
2026-04-02 09:15:00,297.8,300.45,289.7,299.25,2063259.0
2026-04-06 09:15:00,299.5,300.3,294.15,298.8,1281718.0
2026-04-07 09:15:00,298.5,298.75,292.5,297.25,1199672.0
2026-04-08 09:15:00,307.0,317.75,303.0,314.15,2826346.0
2026-04-09 09:15:00,317.95,317.95,305.05,311.25,3649465.0
2026-04-10 09:15:00,312.8,326.45,312.1,324.5,4176699.0
2026-04-13 09:15:00,319.0,329.7,312.85,324.8,3033038.0
2026-04-15 09:15:00,330.15,332.3,327.0,330.0,1791841.0
2026-04-16 09:15:00,331.9,335.8,326.8,331.4,2224897.0
2026-04-17 09:15:00,331.75,333.4,328.7,330.0,1436687.0
2026-04-20 09:15:00,330.3,335.15,325.05,329.7,1738831.0
2026-04-21 09:15:00,329.7,335.85,328.6,333.1,1391477.0
2026-04-22 09:15:00,333.0,360.45,332.0,354.55,15696406.0
2026-04-23 09:15:00,353.8,359.85,345.05,347.25,6747931.0
2026-04-24 09:15:00,346.45,347.95,339.4,342.8,1971642.0
2026-04-27 09:15:00,345.0,353.7,344.8,352.35,2605727.0
2026-04-28 09:15:00,352.7,358.5,351.25,356.25,3553014.0
2026-04-29 09:15:00,357.5,370.3,356.9,363.45,4899239.0
2026-04-30 09:15:00,362.0,363.2,356.0,360.55,2235828.0
